Tlemcen,34.8828,-1.3167,Algeria,DZA,"173,531"
Bir el Djir,35.7367,-0.5542,Algeria,DZA,"171,883"
Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZA,"168,346"
Bechar,31.6167,-2.2167,Algeria,DZA,"165,627"
Blida,36.4686,2.8319,Algeria,DZA,"163,586"
Skikda,36.8667,6.9,Algeria,DZA,"163,318"
Souk Ahras,36.2864,7.9511,Algeria,DZA,"155,259"
Chlef,36.1647,1.3317,Algeria,DZA,"155,134"
El Eulma,36.15,5.6833,Algeria,DZA,"155,038"
Bordj el Kiffan,36.7375,3.1931,Algeria,DZA,"151,950"
Mostaganem,35.9333,0.0833,Algeria,DZA,"145,696"
Touggourt,33.1,6.0667,Algeria,DZA,"143,270"
Medea,36.2675,2.75,Algeria,DZA,"138,355"
Tizi Ouzou,36.7167,4.05,Algeria,DZA,"135,088"
El Oued,33.3611,6.8606,Algeria,DZA,"134,699"
Laghouat,33.8028,2.875,Algeria,DZA,"134,372"
M'Sila,35.7019,4.5472,Algeria,DZA,"132,975"
Jijel,36.8167,5.75,Algeria,DZA,"131,513"
Relizane,35.7333,0.55,Algeria,DZA,"130,094"
Saida,34.8333,0.15,Algeria,DZA,"128,413"
Baraki,36.6667,3.1,Algeria,DZA,"123,101"
Guelma,36.45,7.4333,Algeria,DZA,"120,004"
Ghardaia,32.4833,3.6667,Algeria,DZA,"120,000"
Ain Beida,35.7833,7.3833,Algeria,DZA,"116,064"
Maghnia,34.8617,-1.7306,Algeria,DZA,"114,634"
Bou Saada,36.7667,4.5833,Algeria,DZA,"111,787"
Bou Saada,35.2083,4.1739,Algeria,DZA,"111,787"
Mascara,35.4,0.1333,Algeria,DZA,"108,587"
Khenchela,35.4167,7.1333,Algeria,DZA,"108,580"
Barika,35.3972,5.3658,Algeria,DZA,"104,388"
Messaad,34.1667,3.5,Algeria,DZA,"102,453"
Aflou,34.1089,2.1019,Algeria,DZA,"102,025"
Ain Oussera,35.4489,2.9044,Algeria,DZA,"101,239"
Oran,35.6969,-0.6331,Algeria,DZA,"101,009"
Es Senia,35.65,-0.6333,Algeria,DZA,"96,928"
Bab Ezzouar,36.7217,3.1853,Algeria,DZA,"96,597"
Tamanrasset,22.7889,5.5256,Algeria,DZA,"92,635"
Arzew,35.85,-0.3167,Algeria,DZA,"91,400"
Ain M'Lila,36.0361,6.5708,Algeria,DZA,"88,441"
Hassi Bahbah,35.0667,3.0333,Algeria,DZA,"86,421"
El Bayadh,33.6803,1.0203,Algeria,DZA,"85,577"
Mohammadia,35.5833,0.0667,Algeria,DZA,"84,700"
Khemis Miliana,36.2667,2.2167,Algeria,DZA,"84,574"
