lat, long, city, addresstype
35.6821936,139.762221,東京都,province
28.6273928,77.1716954,Delhi,state
31.2312707,121.4700152,上海市,state
31.2323437,121.4691024,上海市,city
-23.5506507,-46.6333824,São Paulo,municipality
-22.0702705,-48.4333875,São Paulo,state
-1.2043218,-47.1583944,São Paulo,suburb
19.4326296,-99.1331785,Ciudad de México,state
30.0443879,31.2357257,القاهرة,city
30.0332516,31.562165102291935,القاهرة,state
18.9733536,72.82810491917377,Mumbai City District,city
19.08157715,72.88662753964906,Mumbai,city_district
19.0785451,72.878176,Mumbai Suburban District,city
40.190632,116.412144,北京市,state
39.9057136,116.3912972,北京市,city
23.7644025,90.389015,ঢাকা,city
23.7179868,90.35375362049459,dhaka,village
23.9456166,90.2526382,ঢাকা বিভাগ,state
23.780471849999998,90.35832872412647,ঢাকা জেলা,state_district
34.6198813,135.490357,大阪府,province
40.7231975,-74.1220816,Newark and New York Railroad,railway
40.7157954,-74.0924178,Newark and New York Railroad,railway
40.7180297,-74.1014404,Newark and New York Railroad,railway
40.7228122,-74.120538,Newark and New York Railroad,railway
40.727893,-74.1412722,Newark and New York Railroad,railway
24.8546842,67.0207055,کراچی ڈویژن,city
-34.6037181,-58.38153,Buenos Aires,city
-37.14984035,-60.1319456430117,Buenos Aires,state
-42.9165061,-71.3363881,Buenos Aires,suburb
30.05518,107.8748712,重庆市,state
30.8101669,108.4034084,万州区,city
41.006381,28.9758715,İstanbul,city
41.0766019,29.052495,İstanbul,province
38.7903608,35.5943781,İstanbul,peak
22.5726459,88.3638953,Kolkata,city
14.5906346,120.9799964,Manila,city
6.4550575,3.3941795,Lagos,city
6.5269033,3.5774005,Lagos,city
10.5741,12.0037,Lagos,village
-22.9110137,-43.2093727,Rio de Janeiro,municipality
-22.2752762,-42.419415,Rio de Janeiro,state
39.3032619,117.4163641,天津市,state
39.1175488,117.1913008,天津市,city
-4.3196982,15.3424196,Kinshasa,state
-4.3217055,15.3125974,Kinshasa,city
23.1301964,113.2592945,广州市,city
34.0536909,-118.242766,Los Angeles,city
34.3155072,-118.209681,Los Angeles County,county
55.7505412,37.6174782,Москва,city
55.625578,37.6063916,Москва,state
22.5445741,114.0545429,深圳市,city
31.5656822,74.3141829,لاہور,city
12.98815675,77.62260003796,Bengaluru,local_authority
12.9767936,77.590082,Bengaluru,city
48.8588897,2.3200410217200766,Paris,suburb
48.8534951,2.3483915,Paris,city
48.8588897,2.3200410217200766,Paris,city_district
4.6529539,-74.0835643,Bogotá, Distrito Capital,city
4.6533816,-74.0836333,Bogotá,city
4.6529539,-74.0835643,Bogotá Distrito Capital - Municipio,city
-6.175247,106.8270488,Daerah Khusus Jakarta,city
13.0836939,80.270186,Chennai,city
-12.0621065,-77.0365256,Lima Metropolitana,city
-12.2001093,-76.2850579,Lima,state
-12.0002116,-76.8330796,Lima,region
13.7524938,100.4935089,กรุงเทพมหานคร,city
37.5666791,126.9782914,서울특별시,city
35.1851045,136.8998438,名古屋市,city
17.360589,78.4740613,Hyderabad,city
17.6687464,77.5898867,Hyderabad,village
51.4893335,-0.14405508452768728,London,city
51.5156177,-0.0919983,City of London,city
35.6892523,51.3896004,شهر تهران,city
35.48344245,51.41046119093833,استان تهران,province
35.5121097,51.8005344,تهران,state
41.8755616,-87.6244212,Chicago,city
30.7001324,104.0708278,成都,railway
30.7648688,102.1192947,成都,village
30.6598628,104.0633717,成都市,city
30.125819,103.44029361937014,成都眉山边界,state_district
30.55477785,103.94790750572534,成都双流国际机场,aeroway
30.303551050000003,104.4457087996561,成都天府国际机场,aeroway
32.6900147,103.6062914,川青铁路,railway
32.7490694,103.6139177,川青铁路,railway
32.7848042,103.6041308,川青铁路,railway
32.5970274,103.6043301,川青铁路,railway
32.0438284,118.7788631,南京市,city
24.6728568,117.2737299,南靖县,county
24.5167811,117.3523949,南靖县,city
30.5951051,114.2999353,武汉市,city
30.6424069,114.3796282,青山区,city
30.3106557,114.0801009,汉南区,city
30.6356082,114.2776595,江岸区,city
10.7763897,106.7011391,Thành phố Hồ Chí Minh,city
-8.8272699,13.2439512,Luanda,city
-9.51803445,13.53567602042315,Luanda,state
-8.8315747,13.247970021649556,Município de Luanda,county
23.0216238,72.5797068,Ahmedabad,city
3.1516964,101.6942371,Kuala Lumpur,state
34.261004,108.9423363,西安市,city
44.488144,129.5093059,西安区,district
42.9724574,125.1203422,西安区,district
44.5754873,129.6090267,西安区,city
42.9241072,125.1431337,西安区,city
22.350627,114.1849161,香港 Hong Kong,state
22.2793278,114.1628131,香港島 Hong Kong Island,region
23.0205969,113.7457788,东莞市,city
32.4004092,119.4467239,东关街道,suburb
32.1787766,115.6844851,东关街道,town
31.4982293,117.9832502,东关,town
35.9870757,118.9639397,东莞镇,town
24.65023,112.44082,洞冠,village
36.6785881,117.0268015,东关街道,suburb
33.6367669,116.9852556,东关街道,suburb
36.7148986,119.1160628,东关街道,suburb
30.011658,120.814074,东关街道,suburb
30.2489634,120.2052342,杭州市,city
23.0499845,113.0983795,佛山,railway
31.5628496,106.469686,佛山村,village
23.0239788,113.1159558,佛山市,city
28.7233213,98.6852591,佛山乡,town
23.08374235,113.06843829160059,佛山沙堤机场,military
23.031632549999998,113.10808863741477,佛山祖庙,park
41.8026095,123.4279105,沈阳市,city
24.638916,46.7160104,الرياض,city
23.333333,45.333333,منطقة الرياض,state
