Country,ISOURBID,ISO3,URBID,NAME,SCHNM,SQKM_FINAL,latitude,longitude
Sudan,SDN90013,SDN,90013,AbÃ» Jubayhah,ABUJUBAYHAH,36.7929,11.44999901,31.2333333
Sudan,SDN55313,SDN,55313,,ARRANK,3.06014,11.74713592,32.80531169
Sudan,SDN54497,SDN,54497,WadÂ Madani,WADMADANI,284.694,14.38445008,33.53589296
Sudan,SDN54080,SDN,54080,Kassala,KASSALA,166.344,15.4520911,36.39715177
Sudan,SDN54916,SDN,54916,al-Ubayyid,ALUBAYYID,141.281,13.18970287,30.23098277
Sudan,SDN55220,SDN,55220,Niyala,NYALA,140.226,12.06068343,24.89352923
Sudan,SDN90014,SDN,90014,al-Mijlad,ALMIJLAD,32.9866,11.0399994,27.73999941
Sudan,SDN52788,SDN,52788,,ALBAWGA,1.94673,18.30268321,33.89604745
Sudan,SDN90005,SDN,90005,,DOKA,31.9119,13.51666176,35.76666635
Sudan,SDN54631,SDN,54631,Gedaref,ALQADARIF,145.773,14.03659135,35.39982496
Sudan,SDN90007,SDN,90007,Kusti,KUSTI,179.405,13.17000002,32.45999884
Sudan,SDN90008,SDN,90008,,ADDINDAR,25.9682,13.19999576,34.1666679
Sudan,SDN54513,SDN,54513,?uwak,SUWAK,26.7736,14.40273405,35.86944884
Sudan,SDN54780,SDN,54780,al-Fa?ir,ALFASHIR,70.9308,13.62253535,25.35788384
Sudan,SDN53095,SDN,53095,cAtbarah,ATBARA,220.7,17.66020613,33.9871023
Sudan,SDN90021,SDN,90021,,TONJ,22.163,7.273333375,28.68388929
Sudan,SDN57483,SDN,57483,Juba,JUBA,75.4373,4.874129187,31.59392462
Sudan,SDN54252,SDN,54252,,MAHARAYBAH,12.4351,15.08338476,32.97304729
Sudan,SDN90024,SDN,90024,Yirol,YIROL,20.1906,6.556667034,30.67861158
Sudan,SDN52580,SDN,52580,,MEROWE,108.265,18.53366872,31.850125
Sudan,SDN52218,SDN,52218,,DONGOLA,65.6341,19.17577032,30.47723599
Sudan,SDN54835,SDN,54835,Al-Ginaina,ALJUNAYNAH,50.1074,13.43991285,22.4526309
Sudan,SDN52949,SDN,52949,Berber,BARBAR,19.5946,18.03227373,33.99408854
Sudan,SDN90027,SDN,90027,Kapoeta,KAPOETA,16.0537,4.771666694,33.59027882
Sudan,SDN90017,SDN,90017,Bentiu,BENTIU,15.7741,9.239999715,29.82999981
Sudan,SDN56745,SDN,56745,Waw,WAW,13.3687,7.694026101,27.98903558
Sudan,SDN55001,SDN,55001,UmmÂ Ruwabah,UMMRUWABA,58.5861,12.90735278,31.22475372
Sudan,SDN90026,SDN,90026,,AMADI,94.2815,5.515834571,30.33583235
Sudan,SDN55377,SDN,55377,ad-Duwaym,ADDUAYN,37.0257,11.46434433,26.13919646
Sudan,SDN90004,SDN,90004,Sinnar Al Madinah,SINNAR,87.0594,13.54596762,33.40738666
Sudan,SDN90015,SDN,90015,MalakÃ¢l,MALAKAL,78.7531,9.537245664,31.65684722
Sudan,SDN90012,SDN,90012,,ADDAMAZIN,60.9553,11.77042476,34.33746827
Uganda,UGA58042,UGA,58042,MBALE,MBALE,58.3741,1.069692359,34.18908417
Uganda,UGA58251,UGA,58251,MASAKA,MASAKA,89.2965,-0.329958687,31.75271574
Uganda,UGA58190,UGA,58190,ENTEBBE,ENTEBBE,73.9483,0.081787176,32.48715631
Uganda,UGA58294,UGA,58294,MBARARA,MBARARA,49.7961,-0.602974854,30.66177342
Uganda,UGA57958,UGA,57958,SOROTI,SOROTI,3.55732,1.718318199,33.61387513
Uganda,UGA57814,UGA,57814,GULU,GULU,11.66,2.781434487,32.29175606
Uganda,UGA58112,UGA,58112,FORT PORTAL,FORT PORTAL,5.79837,0.666326667,30.28192997
Uganda,UGA90033,UGA,90033,KABALE,KABALE,30.3714,-1.24996331,29.96666889
Uganda,UGA58147,UGA,58147,BUSIA,BUSIA,8.85476,0.470727724,34.09789949
Uganda,UGA57887,UGA,57887,LIRA,LIRA,4.19926,2.238481332,32.89668799
Uganda,UGA58110,UGA,58110,TORORO,TORORO,21.4644,0.685496253,34.18715823
Uganda,UGA58155,UGA,58155,MITYANA,MITYANA,24.0413,0.391401031,32.05058696
Uganda,UGA57781,UGA,57781,ARUA,ARUA,7.59071,3.01924414,30.90863573
Uganda,UGA58123,UGA,58123,IGANGA,IGANGA,18.8882,0.607147815,33.48484056
Uganda,UGA58159,UGA,58159,LUGAZI,LUGAZI,24.8994,0.377485371,32.94352625
Uganda,UGA58181,UGA,58181,KASESE,KASESE,0.758526,0.177226679,30.08458604
